month,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
101年 6月,5,9,12,9,7,2,10,5,4,7,9,8,1,2,2,2,3,6,1,1,0,0
101年 7月,8,14,13,8,3,8,10,2,3,10,7,20,1,4,5,2,4,4,4,1,0,0
101年 8月,10,12,6,10,3,4,8,9,3,8,15,13,3,3,4,2,1,0,5,3,1,0
101年 9月,9,12,13,13,5,7,6,3,1,14,15,13,2,3,2,2,0,7,2,4,0,0
101年 10月,11,16,10,12,9,7,8,2,6,11,16,14,1,8,3,5,7,1,3,1,4,0
101年 11月,9,11,5,11,8,3,10,2,9,10,12,11,2,5,4,1,3,4,4,3,0,0
101年 12月,6,11,5,13,9,5,9,4,2,10,13,7,1,3,1,1,1,1,2,4,3,0
102年,113,142,84,117,88,49,120,52,29,107,132,97,27,50,49,24,19,35,37,33,14,2
102年 1月,7,19,9,11,7,5,7,6,4,11,11,8,1,3,5,3,1,3,3,3,2,0
102年 2月,10,20,8,11,7,4,14,2,3,11,14,12,4,5,5,2,3,5,2,3,0,0
102年 3月,3,15,9,14,9,4,10,3,0,13,14,6,4,7,7,3,3,3,5,0,0,0
102年 4月,5,8,3,5,10,7,8,3,2,7,8,8,2,4,6,2,1,1,4,3,0,0
102年 5月,4,10,8,8,9,4,11,5,0,5,7,7,1,4,2,2,4,3,2,3,1,0
102年 6月,8,17,7,6,2,2,11,4,3,4,7,9,4,2,2,2,0,3,4,2,1,0
102年 7月,10,14,5,17,7,7,9,7,2,9,8,4,1,5,5,2,1,1,2,1,1,2
102年 8月,20,9,5,10,12,3,8,5,3,9,11,9,1,3,2,2,0,2,3,2,2,0
102年 9月,19,7,8,7,5,4,10,2,5,3,13,3,2,5,2,2,2,2,5,5,1,0
102年 10月,4,3,7,10,2,2,11,4,1,18,12,11,1,4,6,2,1,3,3,1,1,0
102年 11月,10,11,11,11,11,4,9,5,3,6,15,10,4,2,3,1,2,4,0,6,1,0
102年 12月,13,9,4,7,7,3,12,6,3,11,12,10,2,6,4,1,1,5,4,4,4,0
